Opportunity(Default),kc_num,min_opp,mean_opp
0,0,0,0.0
0,1,18,18.0
0,1,19,19.0
0,1,20,20.0
47,3,17,34.33333
0,1,75,75.0
0,1,76,76.0
0,1,77,77.0
0,1,78,78.0
0,0,0,0.0
0,1,13,13.0
22,2,22,25.5
48,3,8,32.0
0,1,14,14.0
23,2,23,26.5
49,3,9,33.0
0,1,16,16.0
0,0,0,0.0
0,1,17,17.0
0,0,0,0.0
0,1,29,29.0
0,1,30,30.0
0,1,15,15.0
0,1,31,31.0
0,1,32,32.0
0,1,16,16.0
0,0,0,0.0
0,0,0,0.0
0,1,20,20.0
0,1,21,21.0
0,1,18,18.0
0,0,0,0.0
0,1,19,19.0
0,0,0,0.0
12,3,3,6.33333
0,1,79,79.0
0,1,80,80.0
0,1,81,81.0
0,1,82,82.0
0,0,0,0.0
0,1,15,15.0
31,2,6,18.5
13,3,4,7.33333
0,1,33,33.0
0,1,34,34.0
0,1,35,35.0
0,1,17,17.0
0,1,36,36.0
0,1,18,18.0
0,1,5,5.0
0,0,0,0.0
0,0,0,0.0
0,1,21,21.0
0,1,22,22.0
0,1,22,22.0
50,3,18,36.66667
0,1,83,83.0
0,1,84,84.0
0,1,85,85.0
0,1,86,86.0
0,0,0,0.0
0,0,0,0.0
0,1,16,16.0
24,2,24,28.0
51,3,10,34.66667
0,0,0,0.0
0,1,17,17.0
25,2,25,29.0
52,3,11,35.66667
0,1,18,18.0
26,2,26,30.0
53,3,12,36.66667
0,1,20,20.0
0,1,21,21.0
0,1,37,37.0
0,1,38,38.0
0,1,19,19.0
0,1,39,39.0
0,1,20,20.0
0,1,40,40.0
0,0,0,0.0
0,0,0,0.0
0,1,23,23.0
0,1,24,24.0
0,1,23,23.0
14,3,6,13.0
0,1,87,87.0
0,1,88,88.0
89,2,7,48.0
0,1,90,90.0
0,0,0,0.0
19,2,7,13.0
27,2,27,31.0
15,3,7,11.66667
20,2,8,14.0
28,2,28,32.0
16,3,8,12.66667
0,1,22,22.0
0,0,0,0.0
0,1,23,23.0
0,0,0,0.0
0,1,41,41.0
0,1,42,42.0
0,1,43,43.0
0,1,44,44.0
0,1,21,21.0
0,0,0,0.0
0,0,0,0.0
0,1,25,25.0
0,1,24,24.0
0,1,24,24.0
0,1,25,25.0
54,3,20,40.0
0,1,91,91.0
0,1,92,92.0
0,1,93,93.0
0,1,94,94.0
0,0,0,0.0
0,1,21,21.0
29,2,29,33.0
55,3,15,39.0
0,1,22,22.0
30,2,30,34.0
56,3,16,40.0
0,1,23,23.0
31,2,31,35.0
57,3,17,41.0
0,1,45,45.0
0,1,46,46.0
0,1,22,22.0
0,1,47,47.0
0,1,48,48.0
0,1,23,23.0
0,0,0,0.0
0,0,0,0.0
0,1,26,26.0
0,1,25,25.0
17,3,9,15.66667
0,1,26,26.0
0,1,27,27.0
0,0,0,0.0
18,3,10,16.66667
0,1,95,95.0
0,1,96,96.0
0,1,97,97.0
0,0,0,0.0
0,1,24,24.0
32,2,32,36.0
19,3,11,16.0
0,1,25,25.0
33,2,33,37.0
20,3,12,17.0
0,1,24,24.0
0,1,49,49.0
0,1,25,25.0
0,1,50,50.0
0,1,51,51.0
0,1,52,52.0
0,0,0,0.0
0,0,0,0.0
0,1,27,27.0
0,1,26,26.0
21,3,13,19.0
0,1,98,98.0
0,1,99,99.0
0,1,100,100.0
0,0,0,0.0
0,1,26,26.0
34,2,34,38.0
22,3,14,18.66667
0,1,27,27.0
35,2,35,39.0
23,3,15,19.66667
0,1,28,28.0
0,0,0,0.0
0,1,29,29.0
0,1,53,53.0
0,1,54,54.0
0,1,26,26.0
0,1,55,55.0
0,1,27,27.0
0,0,0,0.0
0,0,0,0.0
0,1,28,28.0
0,1,29,29.0
0,1,27,27.0
58,3,24,44.0
0,1,101,101.0
0,1,102,102.0
0,1,103,103.0
0,1,104,104.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
36,2,36,40.0
37,2,37,41.0
59,3,22,44.0
0,0,0,0.0
0,1,30,30.0
0,1,31,31.0
0,1,56,56.0
0,1,57,57.0
0,1,4,4.0
44,2,19,31.5
0,1,5,5.0
0,1,66,66.0
0,0,0,0.0
0,1,1,1.0
0,1,6,6.0
0,1,45,45.0
0,1,1,1.0
0,1,2,2.0
67,3,3,28.33333
0,0,0,0.0
0,1,68,68.0
0,0,0,0.0
0,0,0,0.0
69,3,4,29.66667
0,0,0,0.0
0,0,0,0.0
0,1,46,46.0
0,1,3,3.0
0,1,4,4.0
70,2,17,43.5
0,0,0,0.0
0,0,0,0.0
0,1,5,5.0
0,1,47,47.0
0,1,7,7.0
0,1,8,8.0
50,2,50,60.5
0,0,0,0.0
0,1,6,6.0
0,1,48,48.0
0,1,9,9.0
0,1,10,10.0
51,2,51,61.5
0,0,0,0.0
0,0,0,0.0
0,1,7,7.0
49,2,20,34.5
0,1,11,11.0
0,1,12,12.0
52,2,52,62.5
0,0,0,0.0
0,1,13,13.0
0,1,50,50.0
0,1,14,14.0
0,1,15,15.0
53,2,53,63.5
0,0,0,0.0
0,1,8,8.0
51,2,21,36.0
0,1,16,16.0
0,1,17,17.0
54,2,54,64.5
0,0,0,0.0
0,1,9,9.0
0,1,52,52.0
0,1,18,18.0
0,1,19,19.0
55,2,55,65.5
0,0,0,0.0
0,0,0,0.0
0,1,10,10.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,1,1.0
53,2,22,37.5
0,1,1,1.0
56,2,56,66.5
0,1,1,1.0
0,1,11,11.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,2,2.0
54,2,23,38.5
0,1,2,2.0
78,2,18,48.0
0,1,2,2.0
0,1,20,20.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,3,3.0
0,1,55,55.0
0,1,3,3.0
79,2,19,49.0
0,1,3,3.0
0,1,12,12.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,4,4.0
56,2,24,40.0
0,1,4,4.0
80,2,20,50.0
0,1,4,4.0
0,1,13,13.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
1,2,1,3.0
0,1,57,57.0
0,1,5,5.0
57,2,57,69.0
0,1,5,5.0
0,1,14,14.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
2,2,2,4.0
58,2,25,41.5
0,1,6,6.0
82,2,21,51.5
0,1,6,6.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,21,21.0
58,2,58,70.5
0,0,0,0.0
0,1,84,84.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,15,15.0
59,2,59,72.0
0,0,0,0.0
0,1,16,16.0
86,2,22,54.0
0,0,0,0.0
0,1,17,17.0
60,2,60,73.5
0,0,0,0.0
0,0,0,0.0
0,1,22,22.0
61,2,61,74.5
0,0,0,0.0
0,1,18,18.0
62,2,62,75.5
0,0,0,0.0
0,0,0,0.0
0,1,23,23.0
90,2,23,56.5
0,0,0,0.0
0,0,0,0.0
0,1,19,19.0
0,1,7,7.0
91,2,24,57.5
0,1,7,7.0
0,1,20,20.0
0,1,8,8.0
63,2,63,77.5
0,1,8,8.0
0,1,24,24.0
0,1,9,9.0
93,2,25,59.0
0,1,9,9.0
0,1,21,21.0
0,1,10,10.0
64,2,64,79.0
0,1,10,10.0
0,1,25,25.0
0,1,11,11.0
95,2,26,60.5
0,1,11,11.0
0,1,22,22.0
0,1,59,59.0
0,1,26,26.0
0,1,27,27.0
65,2,65,80.5
0,0,0,0.0
0,0,0,0.0
0,1,28,28.0
60,2,26,43.0
0,1,29,29.0
0,1,30,30.0
66,2,66,81.5
0,0,0,0.0
0,1,23,23.0
0,1,61,61.0
0,1,31,31.0
0,1,32,32.0
98,2,27,62.5
0,0,0,0.0
0,0,0,0.0
0,1,24,24.0
0,1,62,62.0
0,1,25,25.0
0,1,33,33.0
99,2,28,63.5
0,0,0,0.0
0,1,34,34.0
63,2,27,45.0
0,1,35,35.0
0,1,36,36.0
100,2,29,64.5
0,0,0,0.0
0,0,0,0.0
0,1,26,26.0
64,2,28,46.0
0,1,37,37.0
0,1,38,38.0
67,2,67,84.0
0,0,0,0.0
0,1,39,39.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,12,12.0
65,2,29,47.0
0,1,7,7.0
68,2,68,85.0
0,1,12,12.0
0,0,0,0.0
0,0,0,0.0
0,1,40,40.0
85,3,33,61.0
0,1,56,56.0
0,1,57,57.0
0,1,107,107.0
0,1,55,55.0
0,1,108,108.0
0,1,1,1.0
0,1,1,1.0
0,1,1,1.0
0,1,1,1.0
0,0,0,0.0
0,0,0,0.0
0,1,46,46.0
0,1,47,47.0
0,1,41,41.0
86,3,34,62.0
0,1,58,58.0
0,0,0,0.0
0,1,59,59.0
0,0,0,0.0
0,1,109,109.0
0,1,110,110.0
0,1,56,56.0
0,1,2,2.0
0,1,2,2.0
0,1,2,2.0
0,1,2,2.0
0,0,0,0.0
0,0,0,0.0
0,1,42,42.0
0,1,48,48.0
0,1,49,49.0
26,3,8,33.66667
0,1,111,111.0
0,1,57,57.0
0,1,112,112.0
0,1,3,3.0
0,1,60,60.0
0,0,0,0.0
0,1,61,61.0
0,0,0,0.0
0,1,3,3.0
0,1,3,3.0
0,1,3,3.0
0,0,0,0.0
0,0,0,0.0
0,1,50,50.0
0,1,43,43.0
0,1,62,62.0
0,0,0,0.0
0,1,63,63.0
46,3,35,56.0
0,1,113,113.0
0,1,114,114.0
0,1,4,4.0
0,1,4,4.0
0,1,4,4.0
0,1,4,4.0
0,0,0,0.0
0,0,0,0.0
0,1,44,44.0
47,3,36,57.0
0,1,115,115.0
0,1,58,58.0
0,1,64,64.0
0,1,65,65.0
0,1,116,116.0
0,1,5,5.0
0,1,5,5.0
0,1,5,5.0
0,1,5,5.0
0,0,0,0.0
0,0,0,0.0
0,1,51,51.0
0,1,45,45.0
89,3,37,64.66667
0,1,117,117.0
0,1,118,118.0
0,1,66,66.0
0,1,67,67.0
0,1,6,6.0
0,1,6,6.0
0,1,59,59.0
0,1,6,6.0
0,1,6,6.0
0,0,0,0.0
0,0,0,0.0
0,1,52,52.0
0,1,46,46.0
0,1,68,68.0
0,0,0,0.0
0,1,69,69.0
90,3,38,65.66667
0,1,119,119.0
0,1,120,120.0
0,1,60,60.0
0,1,7,7.0
0,1,7,7.0
0,0,0,0.0
0,0,0,0.0
0,1,53,53.0
0,1,54,54.0
0,1,47,47.0
91,3,39,66.66667
0,1,70,70.0
0,0,0,0.0
0,1,71,71.0
0,0,0,0.0
0,1,121,121.0
0,1,122,122.0
0,1,8,8.0
0,1,8,8.0
0,0,0,0.0
0,0,0,0.0
0,1,55,55.0
0,1,48,48.0
48,3,40,60.0
0,1,72,72.0
0,0,0,0.0
0,1,73,73.0
0,1,123,123.0
0,1,124,124.0
0,1,9,9.0
0,1,9,9.0
0,0,0,0.0
0,0,0,0.0
0,1,56,56.0
0,1,57,57.0
0,1,49,49.0
0,1,74,74.0
0,0,0,0.0
0,1,75,75.0
0,0,0,0.0
49,3,9,50.33333
0,1,125,125.0
0,1,126,126.0
0,1,10,10.0
0,1,10,10.0
0,0,0,0.0
0,0,0,0.0
0,1,58,58.0
0,1,59,59.0
0,1,50,50.0
50,3,41,61.66667
0,1,76,76.0
0,0,0,0.0
0,1,77,77.0
0,0,0,0.0
0,1,127,127.0
0,1,128,128.0
0,1,11,11.0
0,1,11,11.0
0,0,0,0.0
0,0,0,0.0
0,1,60,60.0
0,1,61,61.0
0,1,51,51.0
51,3,10,52.0
0,1,78,78.0
0,1,79,79.0
0,0,0,0.0
0,0,0,0.0
0,1,129,129.0
0,1,130,130.0
0,1,61,61.0
0,1,12,12.0
0,1,12,12.0
0,0,0,0.0
0,0,0,0.0
0,1,62,62.0
0,1,80,80.0
0,0,0,0.0
0,1,63,63.0
0,1,52,52.0
96,3,1,56.0
0,1,131,131.0
0,1,81,81.0
0,0,0,0.0
0,1,62,62.0
0,1,132,132.0
0,1,13,13.0
0,1,13,13.0
0,0,0,0.0
0,0,0,0.0
0,1,64,64.0
0,1,65,65.0
0,1,53,53.0
52,3,11,53.33333
0,1,133,133.0
0,1,134,134.0
0,1,82,82.0
0,0,0,0.0
0,1,83,83.0
0,1,14,14.0
0,1,14,14.0
0,0,0,0.0
0,0,0,0.0
0,1,54,54.0
0,1,84,84.0
0,1,85,85.0
0,0,0,0.0
98,3,42,70.66667
0,1,135,135.0
0,1,63,63.0
0,1,136,136.0
0,1,15,15.0
0,1,15,15.0
0,0,0,0.0
0,0,0,0.0
0,1,86,86.0
0,0,0,0.0
0,1,66,66.0
0,1,55,55.0
0,1,87,87.0
53,3,43,65.0
0,1,137,137.0
0,1,138,138.0
0,1,64,64.0
0,1,16,16.0
0,1,16,16.0
0,0,0,0.0
0,0,0,0.0
0,1,88,88.0
0,1,67,67.0
0,0,0,0.0
0,1,89,89.0
0,1,56,56.0
54,3,44,66.0
0,1,139,139.0
0,1,140,140.0
0,1,3,3.0
0,1,4,4.0
84,2,6,45.0
85,2,34,59.5
124,3,13,58.0
0,1,86,86.0
70,2,70,97.5
87,2,35,61.0
126,2,38,82.0
0,1,88,88.0
71,2,71,99.0
89,2,36,62.5
128,2,39,83.5
0,1,90,90.0
129,2,40,84.5
0,1,91,91.0
72,2,72,101.0
92,2,37,64.5
73,2,73,102.0
0,1,93,93.0
0,1,20,20.0
132,2,41,86.5
0,1,23,23.0
94,2,38,66.0
0,1,21,21.0
74,2,74,103.5
0,1,24,24.0
0,1,95,95.0
0,1,22,22.0
75,2,75,104.5
0,1,25,25.0
0,1,5,5.0
0,1,96,96.0
0,1,6,6.0
0,1,97,97.0
0,1,7,7.0
0,1,98,98.0
0,1,8,8.0
0,1,99,99.0
0,1,9,9.0
100,2,7,53.5
0,1,10,10.0
0,1,1,1.0
0,1,101,101.0
0,1,23,23.0
0,1,46,46.0
8,2,8,15.0
0,1,11,11.0
0,1,2,2.0
0,0,0,0.0
9,2,9,16.0
0,1,12,12.0
0,1,3,3.0
0,1,102,102.0
0,1,24,24.0
0,1,47,47.0
10,2,10,17.0
0,1,48,48.0
0,1,13,13.0
0,1,4,4.0
0,1,103,103.0
0,1,25,25.0
0,1,49,49.0
11,2,11,18.0
0,1,14,14.0
0,1,15,15.0
104,2,2,53.0
0,1,16,16.0
105,2,8,56.5
0,1,17,17.0
106,2,9,57.5
0,1,18,18.0
0,1,5,5.0
12,2,12,19.0
0,1,107,107.0
0,1,26,26.0
0,1,50,50.0
1,2,1,26.0
0,1,19,19.0
0,1,6,6.0
13,2,13,20.0
0,1,108,108.0
0,1,27,27.0
0,1,52,52.0
0,1,20,20.0
0,1,7,7.0
14,2,14,21.0
0,1,109,109.0
0,1,28,28.0
0,1,53,53.0
0,1,21,21.0
0,1,8,8.0
0,1,22,22.0
0,1,9,9.0
15,2,15,22.0
0,1,110,110.0
0,1,29,29.0
0,1,54,54.0
0,1,23,23.0
0,1,10,10.0
16,2,16,23.0
0,1,111,111.0
0,1,30,30.0
0,0,0,0.0
0,1,24,24.0
0,1,11,11.0
0,1,25,25.0
0,1,12,12.0
17,2,17,24.0
0,1,112,112.0
0,1,31,31.0
0,1,55,55.0
0,1,26,26.0
0,1,13,13.0
18,2,18,25.0
0,0,0,0.0
113,2,10,61.5
0,1,32,32.0
2,2,2,29.0
0,1,27,27.0
114,2,3,58.5
0,1,28,28.0
115,2,4,59.5
0,1,29,29.0
116,2,5,60.5
0,1,30,30.0
0,1,14,14.0
19,2,19,26.0
0,1,117,117.0
0,1,33,33.0
0,0,0,0.0
3,2,3,30.0
0,1,31,31.0
0,1,15,15.0
20,2,20,27.0
0,1,118,118.0
0,1,34,34.0
0,1,58,58.0
0,1,32,32.0
0,1,16,16.0
21,2,21,28.0
0,1,119,119.0
0,1,35,35.0
0,1,59,59.0
0,1,33,33.0
0,1,17,17.0
22,2,22,29.0
0,0,0,0.0
120,2,11,65.5
0,1,36,36.0
4,2,4,32.0
0,1,34,34.0
0,1,18,18.0
23,2,23,30.0
0,1,121,121.0
0,1,37,37.0
0,0,0,0.0
0,1,35,35.0
0,1,19,19.0
24,2,24,31.0
0,0,0,0.0
122,2,6,64.0
0,1,38,38.0
5,2,5,33.0
0,1,36,36.0
0,1,20,20.0
25,2,25,32.0
0,0,0,0.0
123,2,7,65.0
0,1,39,39.0
0,1,37,37.0
0,1,21,21.0
26,2,26,33.0
0,0,0,0.0
124,2,8,66.0
0,1,40,40.0
0,1,38,38.0
0,1,22,22.0
27,2,27,34.0
0,0,0,0.0
125,2,9,67.0
0,1,41,41.0
6,2,6,34.0
39,2,39,87.0
126,2,39,82.5
76,2,76,106.0
40,2,40,88.5
127,2,40,83.5
77,2,77,107.5
41,2,41,90.0
128,2,41,84.5
140,2,42,91.0
42,2,42,91.5
129,2,42,85.5
142,2,43,92.5
43,2,43,93.0
0,1,144,144.0
0,1,130,130.0
44,2,44,94.5
0,1,131,131.0
78,2,78,112.0
45,2,45,96.0
0,1,23,23.0
0,0,0,0.0
0,0,0,0.0
28,3,1,10.33333
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
132,2,43,87.5
0,1,42,42.0
79,2,79,113.5
0,1,26,26.0
46,2,46,97.5
0,1,24,24.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
29,3,2,11.33333
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
133,2,44,88.5
0,1,43,43.0
80,2,80,115.0
0,1,27,27.0
47,2,47,99.0
0,1,25,25.0
0,1,134,134.0
0,1,44,44.0
152,2,44,98.0
0,1,28,28.0
48,2,48,100.5
0,1,26,26.0
0,1,135,135.0
0,1,45,45.0
81,2,81,117.5
0,1,29,29.0
49,2,49,102.0
0,1,27,27.0
0,1,136,136.0
0,1,46,46.0
82,2,82,119.0
0,1,30,30.0
50,2,50,103.5
0,1,28,28.0
0,1,137,137.0
0,1,47,47.0
83,2,83,120.5
0,1,31,31.0
51,2,51,105.0
0,1,29,29.0
138,2,45,91.5
0,1,48,48.0
84,2,84,122.0
0,1,32,32.0
0,1,52,52.0
0,1,139,139.0
85,2,85,123.0
0,1,53,53.0
0,1,140,140.0
86,2,86,124.0
0,1,54,54.0
0,1,141,141.0
163,2,45,104.0
0,1,55,55.0
0,1,142,142.0
164,2,46,105.0
0,1,56,56.0
1,3,1,15.66667
0,1,57,57.0
2,3,2,16.66667
0,0,0,0.0
0,1,3,3.0
0,1,4,4.0
0,0,0,0.0
0,1,43,43.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
143,2,46,94.5
0,1,49,49.0
87,2,87,126.0
0,1,33,33.0
0,1,58,58.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
3,4,3,20.75
59,2,59,112.5
0,1,30,30.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,5,5.0
0,1,6,6.0
0,0,0,0.0
0,1,144,144.0
0,1,50,50.0
0,1,44,44.0
88,2,88,127.5
0,1,34,34.0
0,1,60,60.0
4,4,4,21.75
0,1,145,145.0
0,1,51,51.0
0,1,45,45.0
168,2,47,107.5
0,1,35,35.0
0,1,61,61.0
5,4,5,22.75
0,1,146,146.0
0,1,52,52.0
0,1,46,46.0
169,2,48,108.5
0,1,36,36.0
0,1,62,62.0
6,3,6,20.66667
0,1,47,47.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
147,2,47,97.0
0,1,53,53.0
170,2,49,109.5
0,1,37,37.0
0,1,63,63.0
7,4,7,24.5
0,1,148,148.0
0,1,54,54.0
0,1,48,48.0
171,2,50,110.5
0,1,38,38.0
0,1,64,64.0
8,3,8,22.66667
0,1,49,49.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,149,149.0
0,1,55,55.0
89,2,89,130.5
0,1,39,39.0
0,1,65,65.0
9,4,9,26.25
0,1,50,50.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,7,7.0
0,0,0,0.0
150,2,48,99.0
0,1,56,56.0
173,2,51,112.0
0,1,40,40.0
0,1,66,66.0
10,3,10,24.66667
0,1,51,51.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,151,151.0
0,1,57,57.0
174,2,52,113.0
0,1,41,41.0
0,1,67,67.0
11,3,11,25.66667
0,1,52,52.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
152,2,49,100.5
0,1,68,68.0
12,3,12,26.66667
0,1,153,153.0
0,1,58,58.0
0,1,53,53.0
90,2,90,132.5
0,1,42,42.0
0,1,69,69.0
13,4,13,29.5
0,1,154,154.0
0,1,59,59.0
0,1,54,54.0
176,2,53,114.5
0,1,43,43.0
0,1,70,70.0
14,4,14,30.5
0,1,55,55.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,1,76,76.0
0,1,61,61.0
56,3,28,44.0
0,1,150,150.0
0,1,151,151.0
0,1,152,152.0
0,1,153,153.0
0,0,0,0.0
0,1,78,78.0
187,2,12,99.5
57,3,29,40.33333
0,1,79,79.0
188,2,13,100.5
58,3,30,41.33333
0,0,0,0.0
0,0,0,0.0
0,1,62,62.0
59,3,31,46.33333
0,1,77,77.0
0,1,154,154.0
0,1,155,155.0
0,1,156,156.0
0,1,157,157.0
60,3,32,43.0
0,0,0,0.0
0,1,80,80.0
189,2,14,101.5
61,3,33,44.0
0,1,81,81.0
190,2,15,102.5
