,Step Duration (sec),Corrects
308,-1.0,-1.0
309,-1.0,-1.0
310,-1.0,-1.0
311,-1.0,-1.0
312,-1.0,-1.0
313,-1.0,-1.0
314,-1.0,-1.0
315,-1.0,-1.0
316,-1.0,-1.0
317,-1.0,-1.0
318,-1.0,-1.0
319,-1.0,-1.0
402,-1.0,-1.0
403,-1.0,-1.0
404,-1.0,-1.0
405,-1.0,-1.0
406,-1.0,-1.0
407,-1.0,-1.0
408,-1.0,-1.0
409,-1.0,-1.0
410,-1.0,-1.0
411,-1.0,-1.0
412,-1.0,-1.0
413,-1.0,-1.0
414,-1.0,-1.0
415,-1.0,-1.0
416,-1.0,-1.0
417,-1.0,-1.0
418,-1.0,-1.0
419,-1.0,-1.0
420,-1.0,-1.0
421,-1.0,-1.0
422,-1.0,-1.0
423,-1.0,-1.0
463,-1.0,-1.0
464,-1.0,-1.0
465,-1.0,-1.0
466,-1.0,-1.0
467,-1.0,-1.0
468,-1.0,-1.0
469,-1.0,-1.0
470,-1.0,-1.0
471,-1.0,-1.0
472,-1.0,-1.0
473,-1.0,-1.0
474,-1.0,-1.0
475,-1.0,-1.0
476,-1.0,-1.0
477,-1.0,-1.0
478,-1.0,-1.0
479,-1.0,-1.0
480,-1.0,-1.0
481,-1.0,-1.0
482,-1.0,-1.0
483,-1.0,-1.0
484,-1.0,-1.0
485,-1.0,-1.0
486,-1.0,-1.0
487,-1.0,-1.0
488,-1.0,-1.0
489,-1.0,-1.0
518,-1.0,-1.0
519,-1.0,-1.0
520,-1.0,-1.0
521,-1.0,-1.0
522,-1.0,-1.0
523,-1.0,-1.0
524,-1.0,-1.0
525,-1.0,-1.0
526,-1.0,-1.0
527,-1.0,-1.0
528,-1.0,-1.0
529,-1.0,-1.0
530,-1.0,-1.0
531,-1.0,-1.0
532,-1.0,-1.0
533,-1.0,-1.0
534,-1.0,-1.0
535,-1.0,-1.0
536,-1.0,-1.0
537,-1.0,-1.0
538,-1.0,-1.0
539,-1.0,-1.0
540,-1.0,-1.0
541,-1.0,-1.0
542,-1.0,-1.0
543,-1.0,-1.0
544,-1.0,-1.0
571,-1.0,-1.0
572,-1.0,-1.0
573,-1.0,-1.0
574,-1.0,-1.0
575,-1.0,-1.0
576,-1.0,-1.0
577,-1.0,-1.0
624,-1.0,-1.0
625,-1.0,-1.0
626,-1.0,-1.0
627,-1.0,-1.0
628,-1.0,-1.0
629,-1.0,-1.0
630,-1.0,-1.0
631,-1.0,-1.0
632,-1.0,-1.0
633,-1.0,-1.0
634,-1.0,-1.0
635,-1.0,-1.0
636,-1.0,-1.0
637,-1.0,-1.0
638,-1.0,-1.0
639,-1.0,-1.0
640,-1.0,-1.0
641,-1.0,-1.0
642,-1.0,-1.0
643,-1.0,-1.0
644,-1.0,-1.0
645,-1.0,-1.0
646,-1.0,-1.0
647,-1.0,-1.0
648,-1.0,-1.0
649,-1.0,-1.0
650,-1.0,-1.0
651,-1.0,-1.0
652,-1.0,-1.0
653,-1.0,-1.0
654,-1.0,-1.0
655,-1.0,-1.0
656,-1.0,-1.0
657,-1.0,-1.0
658,-1.0,-1.0
659,-1.0,-1.0
660,-1.0,-1.0
661,-1.0,-1.0
662,-1.0,-1.0
674,-1.0,-1.0
675,-1.0,-1.0
676,-1.0,-1.0
677,-1.0,-1.0
678,-1.0,-1.0
679,-1.0,-1.0
680,-1.0,-1.0
681,-1.0,-1.0
682,-1.0,-1.0
683,-1.0,-1.0
684,-1.0,-1.0
685,-1.0,-1.0
686,-1.0,-1.0
687,-1.0,-1.0
688,-1.0,-1.0
689,-1.0,-1.0
690,-1.0,-1.0
691,-1.0,-1.0
692,-1.0,-1.0
693,-1.0,-1.0
694,-1.0,-1.0
728,-1.0,-1.0
729,-1.0,-1.0
730,-1.0,-1.0
731,-1.0,-1.0
733,-1.0,-1.0
738,-1.0,-1.0
739,-1.0,-1.0
740,-1.0,-1.0
741,-1.0,-1.0
742,-1.0,-1.0
743,-1.0,-1.0
744,-1.0,-1.0
745,-1.0,-1.0
746,-1.0,-1.0
747,-1.0,-1.0
748,-1.0,-1.0
755,-1.0,-1.0
756,-1.0,-1.0
757,-1.0,-1.0
758,-1.0,-1.0
759,-1.0,-1.0
760,-1.0,-1.0
761,-1.0,-1.0
770,-1.0,-1.0
771,-1.0,-1.0
772,-1.0,-1.0
773,-1.0,-1.0
774,-1.0,-1.0
793,-1.0,-1.0
794,-1.0,-1.0
795,-1.0,-1.0
798,-1.0,-1.0
799,-1.0,-1.0
800,-1.0,-1.0
801,-1.0,-1.0
802,-1.0,-1.0
818,-1.0,-1.0
819,-1.0,-1.0
825,-1.0,-1.0
826,-1.0,-1.0
827,-1.0,-1.0
828,-1.0,-1.0
829,-1.0,-1.0
830,-1.0,-1.0
836,-1.0,-1.0
837,-1.0,-1.0
838,-1.0,-1.0
839,-1.0,-1.0
840,-1.0,-1.0
841,-1.0,-1.0
842,-1.0,-1.0
843,-1.0,-1.0
844,-1.0,-1.0
845,-1.0,-1.0
846,-1.0,-1.0
847,-1.0,-1.0
852,-1.0,-1.0
853,-1.0,-1.0
854,-1.0,-1.0
855,-1.0,-1.0
856,-1.0,-1.0
857,-1.0,-1.0
858,-1.0,-1.0
859,-1.0,-1.0
860,-1.0,-1.0
861,-1.0,-1.0
862,-1.0,-1.0
863,-1.0,-1.0
864,-1.0,-1.0
879,-1.0,-1.0
880,-1.0,-1.0
881,-1.0,-1.0
882,-1.0,-1.0
883,-1.0,-1.0
884,-1.0,-1.0
885,-1.0,-1.0
886,-1.0,-1.0
887,-1.0,-1.0
888,-1.0,-1.0
889,-1.0,-1.0
890,-1.0,-1.0
891,-1.0,-1.0
892,-1.0,-1.0
893,-1.0,-1.0
894,-1.0,-1.0
895,-1.0,-1.0
896,-1.0,-1.0
897,-1.0,-1.0
898,-1.0,-1.0
899,-1.0,-1.0
900,-1.0,-1.0
901,-1.0,-1.0
902,-1.0,-1.0
903,-1.0,-1.0
904,-1.0,-1.0
905,-1.0,-1.0
906,-1.0,-1.0
907,-1.0,-1.0
908,-1.0,-1.0
909,-1.0,-1.0
910,-1.0,-1.0
911,-1.0,-1.0
912,-1.0,-1.0
913,-1.0,-1.0
914,-1.0,-1.0
915,-1.0,-1.0
916,-1.0,-1.0
917,-1.0,-1.0
918,-1.0,-1.0
919,-1.0,-1.0
920,-1.0,-1.0
921,-1.0,-1.0
922,-1.0,-1.0
923,-1.0,-1.0
924,-1.0,-1.0
925,-1.0,-1.0
926,-1.0,-1.0
927,-1.0,-1.0
928,-1.0,-1.0
929,-1.0,-1.0
930,-1.0,-1.0
931,-1.0,-1.0
932,-1.0,-1.0
933,-1.0,-1.0
934,-1.0,-1.0
935,-1.0,-1.0
936,-1.0,-1.0
937,-1.0,-1.0
938,-1.0,-1.0
939,-1.0,-1.0
940,-1.0,-1.0
941,-1.0,-1.0
942,-1.0,-1.0
943,-1.0,-1.0
944,-1.0,-1.0
945,-1.0,-1.0
946,-1.0,-1.0
947,-1.0,-1.0
948,-1.0,-1.0
949,-1.0,-1.0
950,-1.0,-1.0
951,-1.0,-1.0
952,-1.0,-1.0
953,-1.0,-1.0
954,-1.0,-1.0
955,-1.0,-1.0
956,-1.0,-1.0
957,-1.0,-1.0
958,-1.0,-1.0
959,-1.0,-1.0
960,-1.0,-1.0
961,-1.0,-1.0
962,-1.0,-1.0
963,-1.0,-1.0
964,-1.0,-1.0
965,-1.0,-1.0
966,-1.0,-1.0
967,-1.0,-1.0
968,-1.0,-1.0
969,-1.0,-1.0
970,-1.0,-1.0
971,-1.0,-1.0
972,-1.0,-1.0
973,-1.0,-1.0
974,-1.0,-1.0
975,-1.0,-1.0
976,-1.0,-1.0
977,-1.0,-1.0
978,-1.0,-1.0
979,-1.0,-1.0
980,-1.0,-1.0
981,-1.0,-1.0
982,-1.0,-1.0
983,-1.0,-1.0
984,-1.0,-1.0
985,-1.0,-1.0
986,-1.0,-1.0
987,-1.0,-1.0
988,-1.0,-1.0
989,-1.0,-1.0
990,-1.0,-1.0
991,-1.0,-1.0
992,-1.0,-1.0
993,-1.0,-1.0
994,-1.0,-1.0
995,-1.0,-1.0
996,-1.0,-1.0
997,-1.0,-1.0
998,-1.0,-1.0
999,-1.0,-1.0
1000,-1.0,-1.0
1001,-1.0,-1.0
1002,-1.0,-1.0
1003,-1.0,-1.0
1004,-1.0,-1.0
1005,-1.0,-1.0
1006,-1.0,-1.0
1007,-1.0,-1.0
1008,-1.0,-1.0
1009,-1.0,-1.0
1010,-1.0,-1.0
1011,-1.0,-1.0
1012,-1.0,-1.0
1013,-1.0,-1.0
1014,-1.0,-1.0
1015,-1.0,-1.0
1016,-1.0,-1.0
1017,-1.0,-1.0
1018,-1.0,-1.0
1019,-1.0,-1.0
1020,-1.0,-1.0
1021,-1.0,-1.0
1022,-1.0,-1.0
1023,-1.0,-1.0
1024,-1.0,-1.0
1025,-1.0,-1.0
1026,-1.0,-1.0
1027,-1.0,-1.0
1028,-1.0,-1.0
1029,-1.0,-1.0
1030,-1.0,-1.0
1031,-1.0,-1.0
1032,-1.0,-1.0
1033,-1.0,-1.0
1034,-1.0,-1.0
1035,-1.0,-1.0
1036,-1.0,-1.0
1037,-1.0,-1.0
1038,-1.0,-1.0
1039,-1.0,-1.0
1040,-1.0,-1.0
1041,-1.0,-1.0
1042,-1.0,-1.0
1043,-1.0,-1.0
1044,-1.0,-1.0
1045,-1.0,-1.0
1046,-1.0,-1.0
1047,-1.0,-1.0
1048,-1.0,-1.0
1049,-1.0,-1.0
1050,-1.0,-1.0
1051,-1.0,-1.0
1052,-1.0,-1.0
1053,-1.0,-1.0
1054,-1.0,-1.0
1055,-1.0,-1.0
1056,-1.0,-1.0
1057,-1.0,-1.0
1058,-1.0,-1.0
1059,-1.0,-1.0
1060,-1.0,-1.0
1061,-1.0,-1.0
1062,-1.0,-1.0
1063,-1.0,-1.0
1064,-1.0,-1.0
1065,-1.0,-1.0
1066,-1.0,-1.0
1067,-1.0,-1.0
1068,-1.0,-1.0
1069,-1.0,-1.0
1070,-1.0,-1.0
1071,-1.0,-1.0
1072,-1.0,-1.0
1073,-1.0,-1.0
1074,-1.0,-1.0
1075,-1.0,-1.0
1076,-1.0,-1.0
1077,-1.0,-1.0
1078,-1.0,-1.0
1079,-1.0,-1.0
1080,-1.0,-1.0
1081,-1.0,-1.0
1082,-1.0,-1.0
1083,-1.0,-1.0
1084,-1.0,-1.0
1085,-1.0,-1.0
1086,-1.0,-1.0
1087,-1.0,-1.0
1088,-1.0,-1.0
1089,-1.0,-1.0
1090,-1.0,-1.0
1091,-1.0,-1.0
1092,-1.0,-1.0
1093,-1.0,-1.0
1094,-1.0,-1.0
1095,-1.0,-1.0
1096,-1.0,-1.0
1097,-1.0,-1.0
1098,-1.0,-1.0
1099,-1.0,-1.0
1100,-1.0,-1.0
1101,-1.0,-1.0
1102,-1.0,-1.0
1103,-1.0,-1.0
1104,-1.0,-1.0
1105,-1.0,-1.0
1106,-1.0,-1.0
1107,-1.0,-1.0
1108,-1.0,-1.0
1109,-1.0,-1.0
1110,-1.0,-1.0
1111,-1.0,-1.0
1112,-1.0,-1.0
1113,-1.0,-1.0
1114,-1.0,-1.0
1115,-1.0,-1.0
1116,-1.0,-1.0
1117,-1.0,-1.0
1118,-1.0,-1.0
1119,-1.0,-1.0
1120,-1.0,-1.0
1121,-1.0,-1.0
1122,-1.0,-1.0
1123,-1.0,-1.0
1124,-1.0,-1.0
1125,-1.0,-1.0
1126,-1.0,-1.0
1127,-1.0,-1.0
1128,-1.0,-1.0
1129,-1.0,-1.0
1130,-1.0,-1.0
1131,-1.0,-1.0
1132,-1.0,-1.0
1133,-1.0,-1.0
1134,-1.0,-1.0
1135,-1.0,-1.0
1136,-1.0,-1.0
1137,-1.0,-1.0
1138,-1.0,-1.0
1139,-1.0,-1.0
